age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
30-050,6,1,2012-03-07,6,7,0,0,.412,17,4,.667,6,,W (+3),17.5,1,34:52,ATL,3,1,18,3,MIA,2,9
30-053,7,1,2012-03-10,2,10,0,1,.625,16,8,.889,9,,W (+2),23.2,1,39:35,IND,2,2,28,1,MIA,5,4
30-056,5,2,2012-03-13,6,12,2,3,.545,22,2,1.000,2,@,L (-6),23.9,1,38:25,ORL,0,3,28,2,MIA,1,6
30-057,1,2,2012-03-14,6,16,1,3,.615,26,3,.750,4,@,L (-4),26.0,1,38:55,CHI,1,1,36,1,MIA,3,7
30-059,6,2,2012-03-16,11,6,0,2,.375,16,0,.000,2,@,W (+6),8.5,1,37:51,PHI,0,2,12,2,MIA,4,11
30-061,4,1,2012-03-18,5,13,0,1,.520,25,5,.714,7,,W (+10),20.8,1,38:21,ORL,1,2,31,1,MIA,3,6
30-063,5,1,2012-03-20,2,6,0,2,.353,17,7,.778,9,,W (+4),14.4,1,36:23,PHO,5,4,19,0,MIA,1,7
30-066,5,0,2012-03-23,8,10,0,1,.526,19,4,1.000,4,@,W (+15),21.3,1,35:49,DET,1,0,24,3,MIA,3,9
30-068,4,2,2012-03-25,4,6,3,4,.600,10,7,1.000,7,@,L (-16),19.0,1,37:31,OKC,0,2,22,3,MIA,6,4
30-069,6,4,2012-03-26,4,7,4,8,.438,16,6,.750,8,@,L (-15),21.9,1,35:29,IND,1,2,24,0,MIA,1,5
30-072,5,0,2012-03-29,2,5,0,0,.455,11,6,.667,9,,W (+21),12.1,1,31:36,DAL,1,2,16,1,MIA,2,3
30-073,6,1,2012-03-30,2,12,1,2,.632,19,5,.714,7,@,W (+12),31.6,1,36:13,TOR,4,1,30,3,MIA,0,6
30-075,3,3,2012-04-01,5,6,0,3,.353,17,3,.600,5,@,L (-19),9.9,1,35:40,BOS,3,4,15,1,MIA,2,8
30-078,2,2,2012-04-04,2,7,0,2,.389,18,5,.833,6,,W (+5),10.5,1,37:42,OKC,1,1,19,3,MIA,5,3
30-080,2,0,2012-04-06,3,8,1,1,.444,18,3,.750,4,,L (-15),13.5,1,36:00,MEM,4,2,20,2,MIA,3,7
30-084,5,1,2012-04-10,0,9,0,2,.429,21,2,.500,4,,L (-8),13.5,1,39:20,BOS,2,3,20,3,MIA,2,2
30-086,4,2,2012-04-12,5,10,0,0,.476,21,1,.500,2,@,L (-10),14.4,1,41:01,CHI,0,3,21,2,MIA,2,5
30-089,4,1,2012-04-15,7,10,0,2,.556,18,8,1.000,8,@,W (+8),19.2,1,38:10,NYK,2,3,28,0,MIA,6,9
30-093,5,0,2012-04-19,2,7,0,0,.438,16,4,.667,6,,W (+11),14.4,1,32:35,CHI,1,3,18,3,MIA,1,3
30-095,0,0,2012-04-21,0,0,0,0,,0,0,,0,,L (-2),0.0,1,2:40,WAS,0,0,0,0,MIA,0,0
28-282,6,0,2010-10-26,4,4,1,3,.250,16,4,.667,6,@,L (-8),3.4,1,36:41,BOS,0,4,13,3,MIA,6,4
28-283,4,2,2010-10-27,5,10,1,2,.500,20,9,.750,12,@,W (+10),26.7,1,35:20,PHI,2,3,30,3,MIA,1,7
28-285,3,2,2010-10-29,4,9,2,6,.450,20,6,.750,8,,W (+26),16.1,1,34:07,ORL,2,2,26,0,MIA,4,6
28-287,7,1,2010-10-31,5,4,1,2,.444,9,8,.667,12,@,W (+23),19.5,1,27:16,NJN,1,0,17,2,MIA,1,6
28-289,1,0,2010-11-02,1,12,0,0,.706,17,2,1.000,2,,W (+32),15.6,1,24:27,MIN,1,5,26,0,MIA,3,2
28-292,2,2,2010-11-05,8,7,1,5,.438,16,13,1.000,13,@,L (-3),20.8,1,39:52,NOH,2,1,28,2,MIA,7,10
