age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
26-004,7,1,2008-01-21,3,17,1,3,.586,29,7,.875,8,,L (-7),34.5,1,40:13,CLE,3,3,42,3,MIA,4,6
26-007,9,1,2008-01-24,5,10,0,1,.435,23,7,.583,12,,L (-1),21.3,1,41:18,SAS,1,2,27,4,MIA,4,6
26-009,4,1,2008-01-26,7,12,2,5,.600,20,9,.818,11,,W (+2),28.5,1,40:26,IND,1,2,35,1,MIA,3,8
26-012,6,0,2008-01-29,3,1,0,1,.111,9,5,1.000,5,,L (-30),2.1,1,27:59,BOS,1,2,7,0,MIA,4,4
26-015,6,0,2008-02-01,6,7,0,1,.500,14,1,1.000,1,,L (-9),8.5,1,37:26,NJN,1,3,15,1,MIA,6,7
26-018,4,0,2008-02-04,1,5,0,1,.417,12,2,1.000,2,,L (-32),7.6,1,27:59,TOR,1,2,12,2,MIA,3,2
26-020,12,1,2008-02-06,4,11,0,3,.440,25,8,.889,9,@,L (-5),22.5,1,41:22,DET,1,5,30,1,MIA,4,5
26-021,9,1,2008-02-07,5,5,0,2,.294,17,9,.818,11,@,L (-17),10.9,1,39:12,PHI,1,4,19,1,MIA,6,6
26-024,9,0,2008-02-10,4,7,0,1,.412,17,5,.833,6,,L (-10),11.9,1,41:14,LAL,1,2,19,4,MIA,9,5
26-026,10,0,2008-02-12,1,11,3,7,.423,26,4,.667,6,,L (-1),21.2,1,43:47,DEN,1,3,29,2,MIA,2,2
26-028,7,0,2008-02-14,6,11,2,4,.524,21,6,.750,8,@,L (-7),20.7,1,42:03,CHI,1,4,30,2,MIA,6,7
26-035,11,0,2008-02-21,4,13,1,3,.619,21,6,.857,7,@,L (-12),28.2,1,39:29,HOU,0,2,33,0,MIA,3,4
26-037,5,2,2008-02-23,2,11,2,5,.478,23,9,.900,10,,L (-5),24.7,1,44:26,PHI,1,1,33,2,MIA,4,3
26-040,9,2,2008-02-26,2,6,0,1,.500,12,3,.500,6,,W (+21),9.9,1,37:12,SAC,0,3,15,0,MIA,5,2
26-042,3,1,2008-02-28,0,6,2,3,.353,17,4,.571,7,@,L (-18),4.8,1,28:38,LAL,1,5,18,0,MIA,4,1
26-043,5,1,2008-02-29,3,13,1,2,.520,25,4,.571,7,@,W (+10),20.4,1,39:51,SEA,0,3,31,3,MIA,4,3
26-045,7,0,2008-03-02,2,8,1,5,.533,15,9,.900,10,@,L (-11),18.6,1,39:37,SAC,0,3,26,0,MIA,4,2
26-048,4,0,2008-03-05,3,6,1,3,.462,13,3,.600,5,,L (-25),7.8,1,32:45,TOR,0,1,16,1,MIA,5,3
26-051,8,1,2008-03-08,3,11,0,2,.550,20,2,.500,4,@,L (-3),15.9,1,39:13,ATL,1,4,24,0,MIA,4,4
24-287,3,0,2006-10-31,1,10,2,3,.667,15,3,.500,6,,L (-42),16.2,1,34:07,CHI,1,3,25,1,MIA,4,2
24-290,5,1,2006-11-03,2,6,1,2,.462,13,4,.800,5,,W (+6),11.4,1,29:38,NJN,1,5,17,0,MIA,2,3
24-292,11,1,2006-11-05,1,9,0,1,.429,21,2,.400,5,@,L (-9),11.8,1,43:26,PHI,0,4,20,2,MIA,5,1
24-294,6,3,2006-11-07,4,8,1,4,.348,23,14,.824,17,,W (+3),20.7,1,42:30,SEA,3,2,31,2,MIA,7,7
24-297,10,0,2006-11-10,4,13,0,3,.520,25,8,.889,9,@,W (+7),31.4,1,40:52,NJN,1,2,34,3,MIA,1,5
24-299,4,1,2006-11-12,3,8,0,3,.364,22,8,1.000,8,,L (-22),14.2,1,43:06,HOU,4,2,24,1,MIA,5,7
24-301,11,0,2006-11-14,7,9,3,5,.429,21,16,.941,17,,L (-7),30.4,1,44:36,DEN,1,4,37,2,MIA,6,8
24-304,6,1,2006-11-17,3,8,0,2,.444,18,4,1.000,4,,L (-24),14.4,1,35:29,NYK,0,5,20,2,MIA,2,3
24-305,9,2,2006-11-18,5,11,1,2,.440,25,14,.824,17,@,W (+5),28.1,1,48:50,ATL,2,3,37,2,MIA,6,7
24-308,6,0,2006-11-21,3,8,0,2,.533,15,13,.929,14,@,L (-15),21.0,1,39:51,NOK,0,1,29,0,MIA,5,3
24-309,6,2,2006-11-22,5,7,0,1,.412,17,4,.800,5,@,L (-20),11.4,1,34:23,SAS,0,3,18,2,MIA,5,5
24-311,15,2,2006-11-24,4,9,0,1,.450,20,15,.750,20,,L (-3),32.0,1,42:42,ORL,1,1,33,3,MIA,5,5
24-312,12,0,2006-11-25,4,10,0,0,.714,14,15,.682,22,@,W (+9),33.0,1,45:20,CHA,2,1,35,0,MIA,4,6
24-314,13,2,2006-11-27,6,10,0,1,.556,18,13,.929,14,,W (+12),30.2,1,45:24,PHI,1,2,33,1,MIA,7,7
24-317,8,1,2006-11-30,4,5,1,4,.217,23,10,.769,13,,L (-2),13.9,1,45:51,DET,1,0,21,0,MIA,0,5
24-319,3,0,2006-12-02,1,8,0,0,.444,18,7,.700,10,@,W (+1),8.9,1,26:16,MEM,1,4,23,0,MIA,5,2
24-322,5,2,2006-12-05,4,12,1,3,.444,27,8,.800,10,@,L (-4),22.0,1,39:52,LAC,0,3,33,2,MIA,3,4
24-324,9,2,2006-12-07,11,13,0,0,.481,27,6,.667,9,@,W (+2),27.3,1,43:54,SAC,0,2,32,3,MIA,3,11
24-325,14,1,2006-12-08,3,8,0,0,.533,15,5,.833,6,@,L (-16),23.5,1,33:25,DEN,0,3,21,4,MIA,4,3
24-328,5,1,2006-12-11,4,13,0,1,.619,21,11,.846,13,,W (+22),28.1,1,37:26,TOR,0,0,37,1,MIA,5,4
24-333,7,1,2006-12-16,4,15,0,1,.625,24,11,.786,14,,W (+8),33.7,1,39:32,MEM,1,2,41,5,MIA,7,5
24-335,9,1,2006-12-18,3,12,0,2,.480,25,5,1.000,5,,W (+2),23.8,1,42:08,NOK,2,2,29,4,MIA,5,5
24-337,8,0,2006-12-20,1,10,1,2,.526,19,6,.750,8,@,L (-26),20.2,1,38:35,MIL,0,4,27,2,MIA,3,1
24-340,8,4,2006-12-23,1,7,1,1,.467,15,3,.750,4,,W (+13),15.0,1,35:38,GSW,0,4,18,1,MIA,3,1
24-342,11,4,2006-12-25,4,12,1,1,.600,20,15,.938,16,,W (+16),41.3,1,41:20,LAL,0,2,40,4,MIA,4,4
24-344,0,0,2006-12-27,0,0,0,1,.000,2,0,,0,@,L (-6),-1.8,1,6:20,CHI,0,1,0,1,MIA,1,0
24-355,3,0,2007-01-07,4,9,0,1,.529,17,15,.882,17,@,W (+3),25.5,1,41:18,POR,1,1,33,2,MIA,4,5
24-358,13,1,2007-01-10,3,8,0,0,.500,16,13,.765,17,@,W (+4),25.3,1,37:39,SEA,2,3,29,0,MIA,5,5
24-360,9,3,2007-01-12,10,8,1,3,.471,17,5,.625,8,@,W (+22),18.1,1,35:07,GSW,0,1,22,0,MIA,5,10
24-361,10,2,2007-01-13,1,5,1,2,.417,12,21,.913,23,@,W (+9),33.5,1,39:07,UTA,0,5,32,6,MIA,4,1
24-363,8,0,2007-01-15,3,12,0,2,.480,25,11,.846,13,@,L (-6),27.8,1,42:00,LAL,2,4,35,4,MIA,4,5
25-001,8,1,2007-01-18,5,13,0,0,.542,24,7,.778,9,,W (+3),29.3,1,37:21,IND,1,2,33,4,MIA,3,6
25-002,9,0,2007-01-19,7,10,1,1,.385,26,7,.778,9,@,L (-3),19.4,1,48:52,PHI,4,2,28,1,MIA,5,11
25-004,6,0,2007-01-21,5,12,1,4,.571,21,6,.667,9,,L (-6),27.5,1,44:23,DAL,1,2,31,2,MIA,0,6
25-007,8,3,2007-01-24,4,12,1,3,.545,22,7,.875,8,@,L (-2),30.0,1,46:27,IND,1,4,32,5,MIA,4,5
25-009,5,0,2007-01-26,3,10,0,3,.455,22,17,.810,21,@,L (-20),25.9,1,35:16,NYK,1,3,37,1,MIA,3,4
25-010,8,1,2007-01-27,6,8,0,1,.333,24,8,.727,11,@,L (-3),18.9,1,41:26,CHI,2,2,24,3,MIA,2,8
25-013,6,1,2007-01-30,4,12,0,1,.706,17,4,1.000,4,,W (+30),24.6,1,30:47,MIL,2,2,28,2,MIA,5,6
25-015,5,2,2007-02-01,4,9,0,1,.450,20,23,.958,24,,W (+3),27.3,1,42:25,CLE,0,0,41,3,MIA,12,4
25-017,11,1,2007-02-03,5,11,0,1,.647,17,10,.769,13,@,W (+19),36.9,1,42:05,MIL,3,1,32,4,MIA,2,8
25-019,12,2,2007-02-05,5,10,0,2,.588,17,7,.700,10,,W (+20),27.8,1,39:01,CHA,0,1,27,3,MIA,4,5
25-021,9,3,2007-02-07,6,10,1,1,.588,17,9,1.000,9,@,W (+12),27.5,1,37:44,BOS,0,2,30,1,MIA,5,6
25-023,7,2,2007-02-09,0,10,0,0,.588,17,7,.778,9,@,L (-24),19.5,1,38:37,CLE,1,2,27,2,MIA,7,1
25-025,7,3,2007-02-11,3,10,1,2,.526,19,5,.714,7,,W (+15),18.3,1,41:05,SAS,1,3,26,1,MIA,6,4
25-027,5,3,2007-02-13,2,14,1,3,.609,23,6,.857,7,,W (+19),29.8,1,34:48,POR,1,3,35,2,MIA,2,3
25-035,9,0,2007-02-21,1,11,0,1,.440,25,5,.714,7,@,L (-10),18.7,1,34:17,HOU,2,1,27,2,MIA,4,3
25-081,8,1,2007-04-08,2,3,0,1,.333,9,6,.500,12,,L (-8),5.3,0,26:34,CHA,1,2,12,0,MIA,6,3
25-083,2,0,2007-04-10,4,6,0,0,.500,12,2,1.000,2,@,L (-10),9.3,1,21:01,CHA,1,0,14,2,MIA,4,5
25-084,7,0,2007-04-11,6,6,0,0,.545,11,4,.667,6,,W (+3),11.2,1,34:17,WAS,0,1,16,2,MIA,7,6
25-086,3,1,2007-04-13,3,9,0,0,.409,22,5,.833,6,,W (+4),14.6,1,34:37,IND,1,4,23,5,MIA,4,4
25-089,2,0,2007-04-16,0,3,0,0,.429,7,2,.667,3,,L (-2),5.6,1,23:53,BOS,1,1,8,2,MIA,2,1
23-289,6,2,2005-11-02,8,9,0,1,.500,18,5,.714,7,@,W (+19),16.0,1,39:45,MEM,2,4,23,2,MIA,7,10
23-290,10,1,2005-11-03,4,10,1,4,.588,17,10,.769,13,,L (-3),27.0,1,44:00,IND,2,3,31,1,MIA,5,6
23-292,9,1,2005-11-05,4,6,0,1,.353,17,9,.643,14,@,L (-5),14.8,1,36:36,MIL,3,5,21,1,MIA,4,7
23-294,6,1,2005-11-07,4,8,0,1,.444,18,7,.700,10,,W (+1),20.7,1,35:14,NJN,2,3,23,4,MIA,2,6
23-296,6,0,2005-11-09,7,11,0,0,.458,24,7,.778,9,@,L (-5),14.7,1,39:31,IND,4,3,29,1,MIA,10,11
23-297,7,1,2005-11-10,5,10,0,1,.435,23,5,.833,6,,W (+4),22.3,1,40:25,HOU,3,1,25,3,MIA,2,8
23-299,7,1,2005-11-12,5,7,0,2,.467,15,5,.625,8,,W (+9),17.8,1,32:31,CHA,2,2,19,2,MIA,2,7
23-302,10,1,2005-11-15,2,7,0,1,.333,21,11,.733,15,,W (+7),18.0,1,45:44,NOK,2,3,25,1,MIA,3,4
23-305,10,1,2005-11-18,6,12,0,3,.444,27,8,.889,9,,W (+10),28.9,1,42:53,PHI,3,3,32,3,MIA,2,9
23-307,9,0,2005-11-20,6,14,1,4,.483,29,4,.571,7,@,L (-13),23.8,1,41:25,TOR,2,2,33,1,MIA,3,8
23-310,4,0,2005-11-23,8,7,0,0,.538,13,5,.833,6,,W (+21),19.2,1,31:57,POR,3,1,19,2,MIA,2,11
23-312,4,0,2005-11-25,0,7,0,3,.368,19,9,.900,10,,L (-13),13.3,1,39:11,DAL,0,4,23,5,MIA,5,0
23-313,4,2,2005-11-26,5,8,0,0,.400,20,5,.500,10,@,L (-3),9.4,1,39:45,ORL,1,3,21,0,MIA,4,6
23-315,5,2,2005-11-28,1,9,0,1,.474,19,15,.833,18,,W (+13),29.5,1,33:54,NYK,2,3,33,3,MIA,1,3
23-317,6,0,2005-11-30,3,8,0,0,.364,22,4,.800,5,@,W (+22),15.4,1,37:09,ATL,1,2,20,5,MIA,2,4
23-319,7,1,2005-12-02,4,11,0,0,.500,22,5,.833,6,@,W (+11),19.1,1,34:55,SAC,1,5,27,1,MIA,3,5
23-320,6,0,2005-12-03,4,9,0,0,.563,16,14,.737,19,@,L (-2),28.2,1,33:32,DEN,2,5,32,2,MIA,1,6
23-322,4,1,2005-12-05,6,12,0,2,.480,25,5,.714,7,@,L (-10),18.2,1,42:09,LAC,0,4,29,4,MIA,5,6
23-324,10,0,2005-12-07,4,8,0,1,.400,20,15,.882,17,@,L (-14),23.4,1,40:19,SAS,2,4,31,1,MIA,5,6
23-326,3,1,2005-12-09,9,10,0,0,.435,23,17,.810,21,,L (-8),25.3,1,42:33,DEN,1,3,37,2,MIA,5,10
23-328,8,1,2005-12-11,7,15,0,1,.556,27,11,.846,13,,W (+3),38.6,1,47:02,WAS,3,3,41,4,MIA,2,10
23-330,11,2,2005-12-13,5,6,0,0,.353,17,2,.500,4,@,W (+3),13.7,1,42:21,CHI,0,4,14,3,MIA,2,5
23-331,7,1,2005-12-14,4,9,0,0,.643,14,9,1.000,9,@,W (+17),26.8,1,43:22,MIL,0,2,27,2,MIA,2,4
23-333,3,1,2005-12-16,6,11,0,0,.688,16,10,.769,13,@,W (+7),26.4,1,41:35,PHI,0,3,32,1,MIA,2,6
23-334,7,1,2005-12-17,3,11,0,2,.500,22,11,.846,13,@,L (-8),27.6,1,39:16,CLE,1,2,33,2,MIA,2,4
23-337,2,0,2005-12-20,5,3,1,1,.500,6,7,.875,8,,W (+19),9.7,1,23:58,ATL,0,2,14,0,MIA,3,5
23-340,7,0,2005-12-23,3,4,0,2,.200,20,9,.750,12,,L (-7),10.5,1,39:04,NJN,1,1,17,2,MIA,1,4
23-342,5,0,2005-12-25,3,5,0,0,.333,15,8,.615,13,,W (+5),10.0,1,29:57,LAL,1,4,18,1,MIA,2,4
23-344,7,1,2005-12-27,3,10,0,0,.714,14,15,.789,19,,W (+11),30.9,1,40:07,MIL,0,3,35,2,MIA,4,3
23-346,9,1,2005-12-29,5,14,0,0,.700,20,5,1.000,5,@,L (-5),27.8,1,45:26,DET,1,5,33,0,MIA,4,6
23-347,5,0,2005-12-30,4,8,0,1,.471,17,18,.857,21,@,W (+15),30.4,1,40:51,WAS,4,3,34,2,MIA,2,8
23-349,9,1,2006-01-01,6,8,0,1,.533,15,3,.600,5,,W (+27),15.1,1,33:22,MIN,0,4,19,0,MIA,3,6
23-352,10,0,2006-01-04,9,7,0,0,.438,16,5,.556,9,@,L (-15),10.2,1,36:33,NOK,1,3,19,0,MIA,8,10
23-356,7,0,2006-01-08,3,13,0,0,.765,17,5,.833,6,@,W (+29),33.9,1,27:51,POR,2,3,31,6,MIA,2,5
23-359,11,1,2006-01-11,5,13,0,1,.684,19,6,1.000,6,@,W (+14),31.0,1,40:25,GSW,0,2,32,2,MIA,4,5
23-361,14,2,2006-01-13,7,4,0,0,.286,14,7,.875,8,@,W (+13),18.4,1,39:35,SEA,3,1,15,2,MIA,5,10
23-362,8,1,2006-01-14,6,10,0,1,.500,20,11,.917,12,@,W (+6),29.1,1,45:41,UTA,2,0,31,4,MIA,5,8
23-364,7,1,2006-01-16,2,11,0,3,.458,24,12,.750,16,@,L (-8),24.8,1,42:26,LAL,0,1,34,0,MIA,1,2
24-003,1,0,2006-01-20,2,14,1,2,.483,29,7,.875,8,,L (-7),20.4,1,41:28,SAS,2,3,36,3,MIA,5,4
24-005,7,1,2006-01-22,4,11,0,0,.647,17,0,.000,1,,W (+20),21.3,1,36:11,SAC,2,0,22,1,MIA,2,6
24-007,4,3,2006-01-24,4,6,0,2,.500,12,13,.650,20,,W (+12),20.5,1,40:57,MEM,0,2,25,2,MIA,3,4
24-009,1,0,2006-01-26,0,10,1,4,.500,20,4,.800,5,,L (-9),14.1,1,41:44,PHO,2,4,25,2,MIA,3,2
24-012,9,0,2006-01-29,5,8,0,0,.444,18,16,.842,19,@,W (+6),26.5,1,42:11,HOU,1,1,32,0,MIA,3,6
24-013,11,4,2006-01-30,3,9,0,2,.474,19,10,.833,12,,W (+4),27.1,1,43:47,LAC,0,2,28,0,MIA,1,3
24-016,6,1,2006-02-02,4,11,0,0,.550,20,2,.667,3,,W (+28),19.5,1,34:55,CLE,0,4,24,4,MIA,3,4
24-018,5,0,2006-02-04,2,11,0,1,.524,21,9,.900,10,@,L (-13),24.9,1,40:31,NJN,1,3,31,3,MIA,2,3
24-020,8,1,2006-02-06,5,10,1,1,.588,17,13,.867,15,,W (+16),33.6,1,38:38,BOS,3,4,34,2,MIA,2,8
24-023,8,2,2006-02-09,1,6,0,0,.462,13,4,.667,6,@,L (-36),13.4,1,32:33,DAL,0,1,16,2,MIA,4,1
24-026,4,1,2006-02-12,6,15,0,1,.556,27,7,.778,9,,W (+2),28.8,1,42:39,DET,2,3,37,0,MIA,0,8
24-028,3,0,2006-02-14,4,13,0,0,.650,20,12,.857,14,,W (+14),29.2,1,40:12,ORL,1,3,38,0,MIA,2,5
24-029,9,1,2006-02-15,6,10,0,0,.526,19,16,.842,19,@,W (+10),31.9,1,40:10,ORL,4,3,36,1,MIA,5,10
24-036,5,0,2006-02-22,5,5,0,0,.313,16,14,.824,17,@,W (+20),17.8,1,30:52,NYK,2,3,24,1,MIA,2,7
24-039,11,1,2006-02-25,5,11,0,0,.550,20,4,.444,9,,W (+9),21.5,1,41:56,SEA,2,3,26,0,MIA,3,7
24-041,6,0,2006-02-27,4,15,0,0,.789,19,2,.500,4,,W (+7),25.2,1,44:49,TOR,1,2,32,2,MIA,6,5
24-043,8,0,2006-03-01,3,7,0,0,.467,15,10,.625,16,@,W (+7),17.6,1,40:08,BOS,2,3,24,2,MIA,5,5
24-050,5,0,2006-03-08,3,13,1,3,.619,21,13,.929,14,,W (+6),30.7,1,43:32,WAS,0,2,40,3,MIA,6,3
24-052,6,0,2006-03-10,4,14,2,4,.700,20,12,.706,17,,L (-5),34.2,1,40:48,GSW,2,3,42,2,MIA,5,6
24-054,7,1,2006-03-12,6,11,0,0,.423,26,13,.722,18,,W (+6),26.7,1,45:09,CLE,3,5,35,2,MIA,2,9
24-056,6,2,2006-03-14,5,9,0,1,.692,13,7,1.000,7,,W (+38),24.1,1,29:25,UTA,1,3,25,1,MIA,3,6
24-058,6,1,2006-03-16,1,12,0,2,.600,20,6,.545,11,,W (+3),25.9,1,39:51,BOS,1,2,30,3,MIA,1,2
24-060,2,0,2006-03-18,2,1,0,0,.125,8,13,1.000,13,@,W (+1),4.2,1,29:11,CHI,2,5,15,3,MIA,10,4
24-061,9,0,2006-03-19,4,10,0,1,.588,17,10,.769,13,@,W (+11),24.3,1,41:32,NYK,1,2,30,1,MIA,5,5
24-063,8,0,2006-03-21,1,10,2,3,.417,24,13,.929,14,@,L (-4),26.0,1,39:41,MIN,3,2,35,0,MIA,3,4
24-064,9,1,2006-03-22,2,3,1,3,.200,15,6,.750,8,@,L (-9),7.6,1,40:07,DET,1,4,13,3,MIA,5,3
24-066,8,1,2006-03-24,5,9,0,0,.692,13,6,.857,7,,W (+21),21.7,1,30:51,CHA,0,3,24,2,MIA,5,5
24-069,5,0,2006-03-27,4,7,0,0,.333,21,8,.889,9,,W (+5),14.0,1,42:12,IND,4,3,22,2,MIA,4,8
24-071,3,2,2006-03-29,3,12,0,2,.522,23,13,.867,15,@,W (+4),25.1,1,39:32,TOR,0,3,37,2,MIA,5,3
24-074,9,1,2006-04-01,6,18,1,4,.500,36,7,.778,9,@,L (-7),34.8,1,42:56,CLE,2,4,44,2,MIA,1,8
24-075,5,1,2006-04-02,5,12,0,0,.462,26,8,1.000,8,@,L (-12),21.2,1,41:26,NJN,1,2,32,2,MIA,5,6
24-077,8,1,2006-04-04,8,6,0,0,.600,10,2,.286,7,,W (+26),12.7,1,32:49,MIL,0,1,14,2,MIA,5,8
24-079,6,0,2006-04-06,7,11,0,0,.500,22,7,.700,10,,L (-13),20.5,1,45:42,DET,2,5,29,1,MIA,3,9
24-081,8,0,2006-04-08,3,3,0,1,.429,7,5,1.000,5,@,W (+13),10.8,1,21:30,WAS,0,5,11,3,MIA,4,3
24-082,7,1,2006-04-09,2,9,0,1,.529,17,9,.818,11,,L (-9),19.9,1,41:36,ORL,0,3,27,4,MIA,7,2
24-087,8,1,2006-04-14,5,10,0,0,.526,19,5,.714,7,,W (+19),19.2,1,38:35,PHI,1,3,25,4,MIA,7,6
24-089,2,0,2006-04-16,3,2,0,0,.167,12,4,1.000,4,,L (-24),-0.2,1,19:58,CHI,1,4,8,2,MIA,4,4
22-291,6,0,2004-11-03,3,7,0,0,.500,14,7,.700,10,@,W (+23),16.5,1,36:00,NJN,2,2,21,1,MIA,3,5
22-292,5,3,2004-11-04,5,10,0,0,.500,20,8,.800,10,,W (+6),25.6,1,41:00,CLE,1,1,28,3,MIA,2,6
22-294,12,0,2004-11-06,8,11,1,1,.688,16,14,.875,16,@,W (+12),33.4,1,43:00,WAS,0,2,37,1,MIA,7,8
22-297,9,2,2004-11-09,3,7,0,0,.636,11,8,.727,11,,W (+10),22.0,1,33:00,WAS,1,3,22,2,MIA,4,4
22-299,5,0,2004-11-11,6,6,0,0,.333,18,8,.889,9,,L (-20),14.9,1,31:00,DAL,2,3,20,3,MIA,3,8
22-304,6,1,2004-11-16,0,9,0,0,.600,15,7,.778,9,@,L (-11),20.4,1,36:00,MIN,2,3,25,1,MIA,3,2
22-305,7,3,2004-11-17,5,6,0,0,.600,10,6,.500,12,@,W (+7),12.1,1,33:00,MIL,0,6,18,1,MIA,6,5
22-307,8,2,2004-11-19,4,12,0,0,.545,22,15,.714,21,,W (+2),30.6,1,47:00,UTA,0,4,39,3,MIA,5,4
22-309,7,1,2004-11-21,2,7,0,0,.538,13,11,.846,13,,W (+10),19.8,1,40:00,PHI,1,5,25,2,MIA,5,3
22-311,9,3,2004-11-23,0,5,0,0,.385,13,9,.818,11,,L (-12),21.0,1,40:00,POR,3,4,19,4,MIA,3,3
22-312,11,2,2004-11-24,7,12,0,1,.706,17,7,.875,8,@,W (+6),32.2,1,43:00,ATL,1,3,31,0,MIA,2,8
22-314,6,0,2004-11-26,3,6,0,0,.353,17,5,.833,6,@,L (-1),12.2,1,43:00,DET,2,6,17,3,MIA,2,5
22-316,9,1,2004-11-28,3,7,0,0,.389,18,11,.917,12,,W (+2),22.5,1,39:00,BOS,2,4,25,2,MIA,2,5
22-318,4,1,2004-11-30,7,8,1,2,.500,16,5,.625,8,,L (-2),14.4,1,44:00,TOR,2,1,22,0,MIA,5,9
22-321,8,0,2004-12-03,8,6,0,0,.500,12,3,.375,8,@,W (+24),10.2,1,37:00,CHI,2,3,15,0,MIA,5,10
22-322,8,0,2004-12-04,5,9,1,3,.563,16,7,.778,9,@,L (-9),19.8,1,33:00,DEN,1,4,26,1,MIA,5,6
22-324,4,1,2004-12-06,3,7,0,0,.636,11,9,.750,12,@,W (+20),20.6,1,38:00,UTA,1,1,23,0,MIA,1,4
22-326,10,2,2004-12-08,2,5,0,0,.333,15,7,.700,10,@,W (+5),13.5,1,42:00,MIL,2,3,17,2,MIA,5,4
22-328,9,2,2004-12-10,7,8,0,0,.615,13,10,.833,12,,W (+8),27.3,1,42:00,MEM,2,3,26,2,MIA,4,9
22-330,6,0,2004-12-12,3,8,0,0,.471,17,4,.800,5,@,W (+8),15.0,1,36:00,TOR,6,3,20,1,MIA,5,9
22-331,3,0,2004-12-13,2,0,0,0,.000,4,0,,0,,W (+23),1.8,1,18:00,WAS,1,2,0,2,MIA,0,3
22-333,9,0,2004-12-15,3,11,0,1,.478,23,7,.700,10,@,W (+5),20.5,1,46:00,WAS,2,3,29,2,MIA,5,5
22-335,4,2,2004-12-17,3,9,0,0,.529,17,7,.778,9,,W (+7),16.4,1,37:00,DEN,2,5,25,1,MIA,5,5
22-337,4,0,2004-12-19,3,6,0,1,.300,20,10,.909,11,,W (+10),13.1,1,40:00,ORL,2,5,22,2,MIA,2,5
22-339,11,2,2004-12-21,2,11,0,0,.550,20,11,.846,13,,W (+8),29.9,1,41:00,BOS,2,2,33,4,MIA,7,4
22-341,10,0,2004-12-23,7,10,0,1,.476,21,2,.500,4,@,W (+2),15.1,1,44:00,SAC,1,3,22,1,MIA,5,8
22-343,10,1,2004-12-25,3,10,0,0,.385,26,9,.900,10,@,W (+2),20.6,1,46:00,LAL,0,1,29,2,MIA,4,3
22-345,9,1,2004-12-27,0,10,0,0,.526,19,7,.700,10,,W (+14),21.4,1,41:00,ATL,3,3,27,2,MIA,5,3
22-348,10,1,2004-12-30,7,12,0,0,.667,18,7,.700,10,@,W (+11),29.3,1,42:00,DET,3,4,31,1,MIA,4,10
22-350,9,1,2005-01-01,3,11,0,0,.688,16,4,.400,10,,W (+23),21.9,1,39:00,CHA,0,2,26,1,MIA,3,3
22-352,4,0,2005-01-03,1,9,0,1,.409,22,10,.909,11,,L (-2),15.0,1,41:00,SEA,1,4,28,1,MIA,4,2
22-354,9,0,2005-01-05,2,8,0,0,.421,19,5,.625,8,,W (+8),14.2,1,41:00,NYK,4,3,21,2,MIA,6,6
22-356,12,1,2005-01-07,3,8,0,0,.533,15,9,.900,10,@,W (+11),22.4,1,42:00,POR,1,4,25,0,MIA,4,4
22-358,6,1,2005-01-09,2,7,0,0,.368,19,2,.667,3,@,L (-10),8.6,1,41:00,SEA,0,5,16,4,MIA,4,2
22-360,8,1,2005-01-11,4,9,0,0,.474,19,5,.625,8,@,L (-15),10.7,1,38:00,PHO,1,4,23,0,MIA,8,5
23-002,7,1,2005-01-19,1,10,0,0,.588,17,5,.625,8,,W (+19),18.3,1,35:00,ATL,1,3,25,0,MIA,3,2
23-004,3,2,2005-01-21,6,11,0,0,.407,27,8,.667,12,,L (-6),17.1,1,43:00,IND,3,3,30,2,MIA,5,9
23-006,7,0,2005-01-23,2,7,0,0,.636,11,4,.800,5,,W (+29),17.4,1,28:00,NOH,0,2,18,1,MIA,1,2
23-007,11,1,2005-01-24,5,3,0,1,.231,13,11,1.000,11,@,L (-8),13.1,1,43:00,PHI,1,4,17,1,MIA,6,6
23-009,10,0,2005-01-26,1,3,0,0,.429,7,10,.714,14,@,W (+15),13.3,1,30:00,TOR,1,6,16,2,MIA,5,2
23-011,5,2,2005-01-28,3,5,0,0,.385,13,9,.692,13,@,W (+10),12.7,1,33:00,ATL,2,2,19,1,MIA,5,5
23-013,6,1,2005-01-30,7,8,0,1,.444,18,14,.875,16,,W (+9),24.7,1,39:00,HOU,1,2,30,0,MIA,2,8
23-015,8,3,2005-02-01,5,12,0,1,.500,24,5,.833,6,@,L (-5),20.7,1,40:00,DAL,1,2,29,0,MIA,5,6
23-017,3,1,2005-02-03,5,6,0,0,.545,11,8,.800,10,,W (+12),14.8,1,36:00,CLE,0,1,20,1,MIA,4,5
23-019,2,1,2005-02-05,4,7,0,0,.389,18,11,.846,13,,W (+11),15.5,1,36:00,CHI,2,4,25,2,MIA,4,6
23-021,3,1,2005-02-07,3,5,0,0,.278,18,8,.889,9,,W (+9),2.9,1,41:00,GSW,0,2,18,1,MIA,8,3
23-023,6,1,2005-02-09,4,10,0,0,.455,22,10,.769,13,@,W (+6),20.3,1,46:00,NYK,2,4,30,1,MIA,4,6
23-025,7,1,2005-02-11,8,5,0,0,.333,15,1,.333,3,@,W (+10),4.4,1,41:00,CHA,1,0,11,1,MIA,7,9
23-027,6,2,2005-02-13,4,12,0,0,.462,26,4,1.000,4,,W (+4),19.5,1,44:00,SAS,1,4,28,4,MIA,5,5
